clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 134727	464.86	30.55	30.96	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134729	466.913	30.54	30.95	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134731	468.959	30.51	30.95	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134733	471.007	30.49	30.93	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134735	473.055	30.46	30.93	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134737	475.103	30.44	30.92	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134739	477.151	30.42	30.9	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134741	479.196	30.39	30.9	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134744	481.239	30.38	30.89	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134746	483.294	30.35	30.88	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134748	485.342	30.32	30.87	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134750	487.389	30.3	30.86	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134752	489.437	30.27	30.85	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134754	491.484	30.26	30.84	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134756	493.532	30.23	30.84	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134758	495.58	30.2	30.82	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134800	497.627	30.19	30.81	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134802	499.675	30.16	30.81	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134804	501.722	30.14	30.79	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134806	503.764	30.12	30.79	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134808	505.818	30.09	30.78	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134810	507.864	30.07	30.76	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134812	509.91	30.04	30.76	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134814	511.96	30.03	30.74	30.0	1	0.0	0.0	0.5	0.0	0.0
