clock	watch	T_int	T_ext	T_ref
20200713 230010	1010.539	5.12	8.32	7.367
20200713 230013	1012.67	5.1	8.32	7.352
20200713 230015	1014.799	5.1	8.3	7.337
20200713 230017	1016.925	5.08	8.29	7.322
20200713 230019	1019.051	5.07	8.29	7.315
20200713 230021	1021.182	5.06	8.28	7.3
20200713 230023	1023.309	5.04	8.26	7.277
20200713 230025	1025.433	5.03	8.26	7.277
20200713 230027	1027.548	5.02	8.25	7.27
20200713 230030	1029.671	5.01	8.23	7.255
20200713 230032	1031.786	4.99	8.23	7.247
20200713 230034	1033.912	4.98	8.22	7.24
20200713 230036	1036.037	4.97	8.2	7.232
20200713 230038	1038.152	4.95	8.2	7.209
20200713 230040	1040.279	4.95	8.18	7.194
20200713 230042	1042.407	4.93	8.18	7.194
20200713 230044	1044.534	4.92	8.17	7.172
20200713 230047	1046.66	4.91	8.17	7.164
20200713 230049	1048.772	4.89	8.16	7.149
20200713 230051	1050.9	4.88	8.16	7.134
20200713 230053	1053.025	4.87	8.15	7.119
20200713 230055	1055.138	4.86	8.14	7.112
20200713 230057	1057.266	4.84	8.13	7.112
20200713 230059	1059.393	4.83	8.11	7.089
20200713 230101	1061.522	4.82	8.1	7.089
20200713 230103	1063.652	4.8	8.09	7.074
20200713 230106	1065.776	4.8	8.07	7.067
20200713 230108	1067.901	4.78	8.07	7.052
20200713 230110	1070.016	4.77	8.06	7.037
20200713 230112	1072.142	4.76	8.05	7.021
20200713 230114	1074.267	4.74	8.04	7.006
20200713 230116	1076.38	4.73	8.03	6.999
20200713 230118	1078.508	4.72	8.01	6.991
20200713 230120	1080.633	4.7	8.0	6.975
20200713 230123	1082.747	4.69	7.99	6.968
20200713 230125	1084.872	4.68	7.98	6.945
20200713 230127	1086.983	4.66	7.98	6.945
20200713 230129	1089.097	4.65	7.97	6.922
20200713 230131	1091.223	4.64	7.96	6.922
20200713 230133	1093.351	4.63	7.96	6.907
20200713 230135	1095.476	4.61	7.95	6.899
20200713 230137	1097.588	4.6	7.94	6.876
20200713 230140	1099.699	4.59	7.94	6.876
20200713 230142	1101.813	4.58	7.92	6.861
20200713 230144	1103.94	4.56	7.91	6.854
20200713 230146	1106.064	4.55	7.9	6.838
20200713 230148	1108.18	4.54	7.88	6.823
20200713 230150	1110.309	4.53	7.87	6.808
